item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating,should_be
0,0,Henry Martinez,The Tale of the Body Thief,1.0,,1.0,<=3
1,0,Henry Martinez,Old Macdonald Had A Woodshop,1.0,,1.0,<=3
2,0,Henry Martinez,The Dark Descent,1.0,,1.0,<=3
3,0,Henry Martinez,Boomer Goes to School,1.0,,1.0,<=3
4,0,Henry Martinez,The Souvenir Countess (Berkley Sensation),1.0,,1.0,<=3
5,0,Henry Martinez,The Burglar (Vintage Crime/Black Lizard),1.0,,1.0,<=3
6,0,Henry Martinez,The Collector,1.0,,1.0,<=3
7,0,Henry Martinez,The Master of Blacktower,1.0,,1.0,<=3
8,0,Henry Martinez,Hard Times,1.0,,1.0,<=3
9,0,Henry Martinez,A Hard Rain (Star Trek The Next Generation),1.0,,1.0,<=3
10,0,Henry Martinez,Impetuous,1.0,,1.0,<=3
11,0,Henry Martinez,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",1.0,,1.0,<=3
12,0,Henry Martinez,Soulmates Dissipate,1.0,,1.0,<=3
13,0,Henry Martinez,Ultimate Prizes,1.0,,1.0,<=3
14,0,Henry Martinez,The Heart Queen,1.0,,1.0,<=3
15,0,Henry Martinez,Whispers from Yesterday,1.0,,1.0,<=3
16,0,Henry Martinez,Hide,1.0,,1.0,<=3
17,0,Henry Martinez,"Death Takes a Honeymoon (Carnegie Kincaid, Book 4)",1.0,,1.0,<=3
18,0,Henry Martinez,The Mummy Returns,1.0,,1.0,<=3
19,0,Henry Martinez,In God We Trust : But Which One?,1.0,,1.0,<=3
20,0,Henry Martinez,Teach with Your Heart: Lessons I Learned from the Freedom Writers,1.0,,1.0,<=3
21,0,Henry Martinez,Sunlight on the Lawn,1.0,,1.0,<=3
22,0,Henry Martinez,The Bush Dyslexicon: Observations on a National Disorder,1.0,,1.0,<=3
23,0,Henry Martinez,The Spy Went Dancing,1.0,,1.0,<=3
24,0,Henry Martinez,Stolen Innocence: The Jan Broberg Story,1.0,,1.0,<=3
