item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating
0,0,Emily Riga,Pictorial Key to the Tarot,1.0,,1.0
1,0,Emily Riga,Ramayana: A Tale of Gods and Demons (Mandala Classics),1.0,,1.0
2,0,Emily Riga,Guns and Violence: The English Experience,1.0,,1.0
3,0,Emily Riga,Frame Relay: Technology and Practice,1.0,,1.0
4,0,Emily Riga,Martial Musings: A Portrayal of Martial Arts in the 20th Century,1.0,,1.0
5,0,Emily Riga,Knowledge Assets: Securing Competitive Advantage in the Information Economy,1.0,,1.0
6,0,Emily Riga,Ovid,1.0,,1.0
7,0,Emily Riga,"A Texas cowboy; or, Fifteen years on the hurricane deck of a Spanish pony, taken from real life",1.0,,1.0
8,0,Emily Riga,"Dictionary of Cults, Sects, Religions and the Occult",1.0,,1.0
9,0,Emily Riga,"Hal Leonard Guitar Method, Complete Edition: Books & CD's 1, 2 and 3",1.0,,1.0
10,0,Emily Riga,The Naked & the Dead,1.0,,1.0
11,0,Emily Riga,Linux Unwired,1.0,,1.0
12,0,Emily Riga,Doubts and Loves: What is Left of Christianity,1.0,,1.0
13,0,Emily Riga,Sailing the Wine-Dark Sea: Why the Greeks Matter,1.0,,1.0
14,0,Emily Riga,Bloody River Blues (Location Scout),5.0,,5.0
15,0,Emily Riga,The Scientology Handbook,1.0,,1.0
16,0,Emily Riga,The Puppet and the Dwarf: The Perverse Core of Christianity (Short Circuits),1.0,,1.0
17,0,Emily Riga,47 Ronin Story,1.0,,1.0
18,0,Emily Riga,"A Land Remembered, Vol. 2 (Student Edition)",1.0,,1.0
19,0,Emily Riga,Visual InterDev 6 Unleashed,1.0,,1.0
0,1,Ethan Mitchell,Pictorial Key to the Tarot,1.0,,1.0
1,1,Ethan Mitchell,Ramayana: A Tale of Gods and Demons (Mandala Classics),1.0,,1.0
2,1,Ethan Mitchell,Guns and Violence: The English Experience,1.0,,1.0
3,1,Ethan Mitchell,Frame Relay: Technology and Practice,1.0,,1.0
4,1,Ethan Mitchell,Martial Musings: A Portrayal of Martial Arts in the 20th Century,1.0,,1.0
5,1,Ethan Mitchell,Knowledge Assets: Securing Competitive Advantage in the Information Economy,1.0,,1.0
6,1,Ethan Mitchell,Ovid,1.0,,1.0
7,1,Ethan Mitchell,"A Texas cowboy; or, Fifteen years on the hurricane deck of a Spanish pony, taken from real life",1.0,,1.0
8,1,Ethan Mitchell,"Dictionary of Cults, Sects, Religions and the Occult",1.0,,1.0
9,1,Ethan Mitchell,"Hal Leonard Guitar Method, Complete Edition: Books & CD's 1, 2 and 3",1.0,,1.0
10,1,Ethan Mitchell,The Naked & the Dead,1.0,,1.0
11,1,Ethan Mitchell,Linux Unwired,1.0,,1.0
12,1,Ethan Mitchell,Doubts and Loves: What is Left of Christianity,1.0,,1.0
13,1,Ethan Mitchell,Sailing the Wine-Dark Sea: Why the Greeks Matter,1.0,,1.0
14,1,Ethan Mitchell,Bloody River Blues (Location Scout),3.0,,3.0
15,1,Ethan Mitchell,The Scientology Handbook,1.0,,1.0
16,1,Ethan Mitchell,The Puppet and the Dwarf: The Perverse Core of Christianity (Short Circuits),1.0,,1.0
17,1,Ethan Mitchell,47 Ronin Story,1.0,,1.0
18,1,Ethan Mitchell,"A Land Remembered, Vol. 2 (Student Edition)",1.0,,1.0
19,1,Ethan Mitchell,Visual InterDev 6 Unleashed,1.0,,1.0
0,2,Oliva Turner ,Pictorial Key to the Tarot,1.0,,1.0
1,2,Oliva Turner ,Ramayana: A Tale of Gods and Demons (Mandala Classics),1.0,,1.0
2,2,Oliva Turner ,Guns and Violence: The English Experience,1.0,,1.0
3,2,Oliva Turner ,Frame Relay: Technology and Practice,1.0,,1.0
4,2,Oliva Turner ,Martial Musings: A Portrayal of Martial Arts in the 20th Century,1.0,,1.0
5,2,Oliva Turner ,Knowledge Assets: Securing Competitive Advantage in the Information Economy,1.0,,1.0
6,2,Oliva Turner ,Ovid,1.0,,1.0
7,2,Oliva Turner ,"A Texas cowboy; or, Fifteen years on the hurricane deck of a Spanish pony, taken from real life",1.0,,1.0
8,2,Oliva Turner ,"Dictionary of Cults, Sects, Religions and the Occult",1.0,,1.0
9,2,Oliva Turner ,"Hal Leonard Guitar Method, Complete Edition: Books & CD's 1, 2 and 3",1.0,,1.0
10,2,Oliva Turner ,The Naked & the Dead,1.0,,1.0
11,2,Oliva Turner ,Linux Unwired,1.0,,1.0
12,2,Oliva Turner ,Doubts and Loves: What is Left of Christianity,1.0,,1.0
13,2,Oliva Turner ,Sailing the Wine-Dark Sea: Why the Greeks Matter,1.0,,1.0
14,2,Oliva Turner ,Bloody River Blues (Location Scout),1.0,,1.0
15,2,Oliva Turner ,The Scientology Handbook,1.0,,1.0
16,2,Oliva Turner ,The Puppet and the Dwarf: The Perverse Core of Christianity (Short Circuits),1.0,,1.0
17,2,Oliva Turner ,47 Ronin Story,1.0,,1.0
18,2,Oliva Turner ,"A Land Remembered, Vol. 2 (Student Edition)",1.0,,1.0
19,2,Oliva Turner ,Visual InterDev 6 Unleashed,1.0,,1.0
0,3,Marcus Roger,Pictorial Key to the Tarot,3.0,,3.0
1,3,Marcus Roger,Ramayana: A Tale of Gods and Demons (Mandala Classics),3.0,,3.0
2,3,Marcus Roger,Guns and Violence: The English Experience,3.0,,3.0
3,3,Marcus Roger,Frame Relay: Technology and Practice,3.0,,3.0
4,3,Marcus Roger,Martial Musings: A Portrayal of Martial Arts in the 20th Century,3.0,,3.0
5,3,Marcus Roger,Knowledge Assets: Securing Competitive Advantage in the Information Economy,3.0,,3.0
6,3,Marcus Roger,Ovid,3.0,,3.0
7,3,Marcus Roger,"A Texas cowboy; or, Fifteen years on the hurricane deck of a Spanish pony, taken from real life",3.0,,3.0
8,3,Marcus Roger,"Dictionary of Cults, Sects, Religions and the Occult",3.0,,3.0
9,3,Marcus Roger,"Hal Leonard Guitar Method, Complete Edition: Books & CD's 1, 2 and 3",3.0,,3.0
10,3,Marcus Roger,The Naked & the Dead,3.0,,3.0
11,3,Marcus Roger,Linux Unwired,3.0,,3.0
12,3,Marcus Roger,Doubts and Loves: What is Left of Christianity,3.0,,3.0
13,3,Marcus Roger,Sailing the Wine-Dark Sea: Why the Greeks Matter,3.0,,3.0
14,3,Marcus Roger,Bloody River Blues (Location Scout),3.0,,3.0
15,3,Marcus Roger,The Scientology Handbook,3.0,,3.0
16,3,Marcus Roger,The Puppet and the Dwarf: The Perverse Core of Christianity (Short Circuits),3.0,,3.0
17,3,Marcus Roger,47 Ronin Story,3.0,,3.0
18,3,Marcus Roger,"A Land Remembered, Vol. 2 (Student Edition)",3.0,,3.0
19,3,Marcus Roger,Visual InterDev 6 Unleashed,3.0,,3.0
0,0,Lily White,What Men Know That Women Don't: How to Love Women Without Losing Your Soul,1.0,,1.0
1,0,Lily White,Schaum's Outline of Tensor Calculus (Schaum's),1.0,,1.0
2,0,Lily White,Midnight at the Well of Souls,1.0,,1.0
3,0,Lily White,Long Long Way,1.0,,1.0
4,0,Lily White,Escape of the Pacific Clipper,1.0,,1.0
5,0,Lily White,"The German Army and Genocide: Crimes Against War Prisoners, Jews, and Other Civilians in the East, 1939-1944",1.0,,1.0
6,0,Lily White,Flies for Alaska: A Guide to Buying and Tying,1.0,,1.0
7,0,Lily White,"Where Are They Buried?: How Did They Die? Fitting Ends and Final Resting Places of the Famous, Infamous, and Noteworthy",3.0,,3.0
8,0,Lily White,the Kandy Kolored Tangerine Flake Streamline Baby,2.0,,2.0
9,0,Lily White,OPTIONS WORKBOOK,1.0,,1.0
10,0,Lily White,Macromedia Fireworks MX: Training from the Source,1.0,,1.0
11,0,Lily White,The First Nine Months of Life.,1.0,,1.0
12,0,Lily White,Shore Chronicles: Diaries and Traveler's Tales from the Jersey Shore,1.0,,1.0
13,0,Lily White,The Second Ring of Power,1.0,,1.0
14,0,Lily White,The Wiccan Mysteries: Ancient Origins & Teachings,1.0,,1.0
15,0,Lily White,Silence & Solitude: Yellowstone's Winter Wilderness,1.0,,1.0
16,0,Lily White,A History of Mathematics: An Introduction (2nd Edition),1.0,,1.0
17,0,Lily White,"A Knife to Remember (Jane Jeffry Mysteries, No. 5)",1.0,,1.0
18,0,Lily White,Lying Crying Dying,1.0,,1.0
19,0,Lily White,Biblical Eldership Study Guide,1.0,,1.0
0,1,Oliver Fitzgerald,What Men Know That Women Don't: How to Love Women Without Losing Your Soul,3.0,,3.0
1,1,Oliver Fitzgerald,Schaum's Outline of Tensor Calculus (Schaum's),1.0,,1.0
2,1,Oliver Fitzgerald,Midnight at the Well of Souls,3.0,,3.0
3,1,Oliver Fitzgerald,Long Long Way,3.0,,3.0
4,1,Oliver Fitzgerald,Escape of the Pacific Clipper,3.0,,3.0
5,1,Oliver Fitzgerald,"The German Army and Genocide: Crimes Against War Prisoners, Jews, and Other Civilians in the East, 1939-1944",3.0,,3.0
6,1,Oliver Fitzgerald,Flies for Alaska: A Guide to Buying and Tying,3.0,,3.0
7,1,Oliver Fitzgerald,"Where Are They Buried?: How Did They Die? Fitting Ends and Final Resting Places of the Famous, Infamous, and Noteworthy",3.0,,3.0
8,1,Oliver Fitzgerald,the Kandy Kolored Tangerine Flake Streamline Baby,3.0,,3.0
9,1,Oliver Fitzgerald,OPTIONS WORKBOOK,2.0,,2.0
10,1,Oliver Fitzgerald,Macromedia Fireworks MX: Training from the Source,1.0,,1.0
11,1,Oliver Fitzgerald,The First Nine Months of Life.,3.0,,3.0
12,1,Oliver Fitzgerald,Shore Chronicles: Diaries and Traveler's Tales from the Jersey Shore,3.0,,3.0
13,1,Oliver Fitzgerald,The Second Ring of Power,3.0,,3.0
14,1,Oliver Fitzgerald,The Wiccan Mysteries: Ancient Origins & Teachings,3.0,,3.0
15,1,Oliver Fitzgerald,Silence & Solitude: Yellowstone's Winter Wilderness,3.0,,3.0
16,1,Oliver Fitzgerald,A History of Mathematics: An Introduction (2nd Edition),3.0,,3.0
17,1,Oliver Fitzgerald,"A Knife to Remember (Jane Jeffry Mysteries, No. 5)",3.0,,3.0
18,1,Oliver Fitzgerald,Lying Crying Dying,3.0,,3.0
19,1,Oliver Fitzgerald,Biblical Eldership Study Guide,3.0,,3.0
0,2,Sophie Jenkins,What Men Know That Women Don't: How to Love Women Without Losing Your Soul,1.0,,1.0
1,2,Sophie Jenkins,Schaum's Outline of Tensor Calculus (Schaum's),1.0,,1.0
2,2,Sophie Jenkins,Midnight at the Well of Souls,1.0,,1.0
3,2,Sophie Jenkins,Long Long Way,1.0,,1.0
4,2,Sophie Jenkins,Escape of the Pacific Clipper,1.0,,1.0
5,2,Sophie Jenkins,"The German Army and Genocide: Crimes Against War Prisoners, Jews, and Other Civilians in the East, 1939-1944",1.0,,1.0
6,2,Sophie Jenkins,Flies for Alaska: A Guide to Buying and Tying,1.0,,1.0
7,2,Sophie Jenkins,"Where Are They Buried?: How Did They Die? Fitting Ends and Final Resting Places of the Famous, Infamous, and Noteworthy",3.0,,3.0
8,2,Sophie Jenkins,the Kandy Kolored Tangerine Flake Streamline Baby,2.0,,2.0
9,2,Sophie Jenkins,OPTIONS WORKBOOK,1.0,,1.0
10,2,Sophie Jenkins,Macromedia Fireworks MX: Training from the Source,1.0,,1.0
11,2,Sophie Jenkins,The First Nine Months of Life.,1.0,,1.0
12,2,Sophie Jenkins,Shore Chronicles: Diaries and Traveler's Tales from the Jersey Shore,1.0,,1.0
13,2,Sophie Jenkins,The Second Ring of Power,1.0,,1.0
14,2,Sophie Jenkins,The Wiccan Mysteries: Ancient Origins & Teachings,1.0,,1.0
15,2,Sophie Jenkins,Silence & Solitude: Yellowstone's Winter Wilderness,1.0,,1.0
16,2,Sophie Jenkins,A History of Mathematics: An Introduction (2nd Edition),1.0,,1.0
17,2,Sophie Jenkins,"A Knife to Remember (Jane Jeffry Mysteries, No. 5)",1.0,,1.0
18,2,Sophie Jenkins,Lying Crying Dying,1.0,,1.0
19,2,Sophie Jenkins,Biblical Eldership Study Guide,1.0,,1.0
0,3,Max Sanchez,What Men Know That Women Don't: How to Love Women Without Losing Your Soul,1.0,,1.0
1,3,Max Sanchez,Schaum's Outline of Tensor Calculus (Schaum's),1.0,,1.0
2,3,Max Sanchez,Midnight at the Well of Souls,1.0,,1.0
3,3,Max Sanchez,Long Long Way,1.0,,1.0
4,3,Max Sanchez,Escape of the Pacific Clipper,1.0,,1.0
5,3,Max Sanchez,"The German Army and Genocide: Crimes Against War Prisoners, Jews, and Other Civilians in the East, 1939-1944",1.0,,1.0
6,3,Max Sanchez,Flies for Alaska: A Guide to Buying and Tying,1.0,,1.0
7,3,Max Sanchez,"Where Are They Buried?: How Did They Die? Fitting Ends and Final Resting Places of the Famous, Infamous, and Noteworthy",1.0,,1.0
8,3,Max Sanchez,the Kandy Kolored Tangerine Flake Streamline Baby,1.0,,1.0
9,3,Max Sanchez,OPTIONS WORKBOOK,1.0,,1.0
10,3,Max Sanchez,Macromedia Fireworks MX: Training from the Source,1.0,,1.0
11,3,Max Sanchez,The First Nine Months of Life.,1.0,,1.0
12,3,Max Sanchez,Shore Chronicles: Diaries and Traveler's Tales from the Jersey Shore,1.0,,1.0
13,3,Max Sanchez,The Second Ring of Power,1.0,,1.0
14,3,Max Sanchez,The Wiccan Mysteries: Ancient Origins & Teachings,1.0,,1.0
15,3,Max Sanchez,Silence & Solitude: Yellowstone's Winter Wilderness,1.0,,1.0
16,3,Max Sanchez,A History of Mathematics: An Introduction (2nd Edition),1.0,,1.0
17,3,Max Sanchez,"A Knife to Remember (Jane Jeffry Mysteries, No. 5)",1.0,,1.0
18,3,Max Sanchez,Lying Crying Dying,1.0,,1.0
19,3,Max Sanchez,Biblical Eldership Study Guide,1.0,,1.0
0,0,Sarah Gonzalez,Zen's Chinese Heritage -- The Masters & Their Teachings,2.0,,2.0
1,0,Sarah Gonzalez,Ain't Nobody's Bizness (Five Star Expressions),1.0,,1.0
2,0,Sarah Gonzalez,A terrible thunder: The story of the New Orleans sniper,2.0,,2.0
3,0,Sarah Gonzalez,The Day and the Hour,2.0,,2.0
4,0,Sarah Gonzalez,"Fallen Stars, Bitter Waters - America Has Fallen, The Antichrist Reigns...",1.0,,1.0
5,0,Sarah Gonzalez,"600,000 Terms Large Russian-English-Russian Dictionary of Modern Words and Phrases on CD-ROM",1.0,,1.0
6,0,Sarah Gonzalez,Home Maintenance for Dummies (For Dummies (Computer/Tech)),1.0,,1.0
7,0,Sarah Gonzalez,FOUCAULTS PENDULUM,1.0,,1.0
8,0,Sarah Gonzalez,Rescuing Jesus from the Christians,1.0,,1.0
9,0,Sarah Gonzalez,Four Things My Geeky-Jock-of-a-Best Friend Must Do in Europe,1.0,,1.0
10,0,Sarah Gonzalez,Last Crusade: Spain 1936,3.0,,3.0
11,0,Sarah Gonzalez,Youth Football Skills & Drills: A New Coach's Guide,1.0,,1.0
12,0,Sarah Gonzalez,Green Arrow: Quiver (Green Arrow (Graphic Novels)),1.0,,1.0
