item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating
0,0,Emily Riga,The Tale of the Body Thief,5.0,,5.0
1,0,Emily Riga,Old Macdonald Had A Woodshop,1.0,,1.0
2,0,Emily Riga,The Dark Descent,5.0,,5.0
3,0,Emily Riga,Boomer Goes to School,1.0,,1.0
4,0,Emily Riga,The Souvenir Countess (Berkley Sensation),5.0,,5.0
5,0,Emily Riga,The Burglar (Vintage Crime/Black Lizard),5.0,,5.0
6,0,Emily Riga,The Collector,5.0,,5.0
7,0,Emily Riga,The Master of Blacktower,5.0,,5.0
8,0,Emily Riga,Hard Times,5.0,,5.0
9,0,Emily Riga,A Hard Rain (Star Trek The Next Generation),5.0,,5.0
10,0,Emily Riga,Impetuous,5.0,,5.0
11,0,Emily Riga,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",5.0,,5.0
12,0,Emily Riga,Soulmates Dissipate,5.0,,5.0
13,0,Emily Riga,Ultimate Prizes,5.0,,5.0
14,0,Emily Riga,The Heart Queen,5.0,,5.0
15,0,Emily Riga,Whispers from Yesterday,5.0,,5.0
16,0,Emily Riga,Hide,5.0,,5.0
17,0,Emily Riga,"Death Takes a Honeymoon (Carnegie Kincaid, Book 4)",5.0,,5.0
18,0,Emily Riga,The Mummy Returns,5.0,,5.0
19,0,Emily Riga,In God We Trust : But Which One?,5.0,,5.0
0,1,Ethan Mitchell,The Tale of the Body Thief,5.0,,5.0
1,1,Ethan Mitchell,Old Macdonald Had A Woodshop,1.0,,1.0
2,1,Ethan Mitchell,The Dark Descent,5.0,,5.0
3,1,Ethan Mitchell,Boomer Goes to School,1.0,,1.0
4,1,Ethan Mitchell,The Souvenir Countess (Berkley Sensation),5.0,,5.0
5,1,Ethan Mitchell,The Burglar (Vintage Crime/Black Lizard),5.0,,5.0
6,1,Ethan Mitchell,The Collector,1.0,,1.0
7,1,Ethan Mitchell,The Master of Blacktower,5.0,,5.0
8,1,Ethan Mitchell,Hard Times,5.0,,5.0
9,1,Ethan Mitchell,A Hard Rain (Star Trek The Next Generation),5.0,,5.0
10,1,Ethan Mitchell,Impetuous,5.0,,5.0
11,1,Ethan Mitchell,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",1.0,,1.0
12,1,Ethan Mitchell,Soulmates Dissipate,5.0,,5.0
13,1,Ethan Mitchell,Ultimate Prizes,5.0,,5.0
14,1,Ethan Mitchell,The Heart Queen,1.0,,1.0
15,1,Ethan Mitchell,Whispers from Yesterday,5.0,,5.0
16,1,Ethan Mitchell,Hide,5.0,,5.0
17,1,Ethan Mitchell,"Death Takes a Honeymoon (Carnegie Kincaid, Book 4)",5.0,,5.0
18,1,Ethan Mitchell,The Mummy Returns,5.0,,5.0
19,1,Ethan Mitchell,In God We Trust : But Which One?,5.0,,5.0
0,2,Oliva Turner ,The Tale of the Body Thief,4.0,,4.0
1,2,Oliva Turner ,Old Macdonald Had A Woodshop,1.0,,1.0
2,2,Oliva Turner ,The Dark Descent,3.0,,3.0
3,2,Oliva Turner ,Boomer Goes to School,1.0,,1.0
4,2,Oliva Turner ,The Souvenir Countess (Berkley Sensation),3.0,,3.0
5,2,Oliva Turner ,The Burglar (Vintage Crime/Black Lizard),3.0,,3.0
6,2,Oliva Turner ,The Collector,3.0,,3.0
7,2,Oliva Turner ,The Master of Blacktower,3.0,,3.0
8,2,Oliva Turner ,Hard Times,3.0,,3.0
9,2,Oliva Turner ,A Hard Rain (Star Trek The Next Generation),3.0,,3.0
10,2,Oliva Turner ,Impetuous,3.0,,3.0
11,2,Oliva Turner ,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",3.0,,3.0
12,2,Oliva Turner ,Soulmates Dissipate,3.0,,3.0
13,2,Oliva Turner ,Ultimate Prizes,3.0,,3.0
14,2,Oliva Turner ,The Heart Queen,3.0,,3.0
15,2,Oliva Turner ,Whispers from Yesterday,3.0,,3.0
16,2,Oliva Turner ,Hide,3.0,,3.0
17,2,Oliva Turner ,"Death Takes a Honeymoon (Carnegie Kincaid, Book 4)",3.0,,3.0
18,2,Oliva Turner ,The Mummy Returns,3.0,,3.0
19,2,Oliva Turner ,In God We Trust : But Which One?,3.0,,3.0
0,3,Marcus Roger,The Tale of the Body Thief,5.0,,5.0
1,3,Marcus Roger,Old Macdonald Had A Woodshop,1.0,,1.0
2,3,Marcus Roger,The Dark Descent,5.0,,5.0
3,3,Marcus Roger,Boomer Goes to School,1.0,,1.0
4,3,Marcus Roger,The Souvenir Countess (Berkley Sensation),5.0,,5.0
5,3,Marcus Roger,The Burglar (Vintage Crime/Black Lizard),5.0,,5.0
6,3,Marcus Roger,The Collector,1.0,,1.0
7,3,Marcus Roger,The Master of Blacktower,5.0,,5.0
8,3,Marcus Roger,Hard Times,5.0,,5.0
9,3,Marcus Roger,A Hard Rain (Star Trek The Next Generation),5.0,,5.0
10,3,Marcus Roger,Impetuous,5.0,,5.0
11,3,Marcus Roger,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",1.0,,1.0
12,3,Marcus Roger,Soulmates Dissipate,5.0,,5.0
13,3,Marcus Roger,Ultimate Prizes,5.0,,5.0
14,3,Marcus Roger,The Heart Queen,3.0,,3.0
15,3,Marcus Roger,Whispers from Yesterday,5.0,,5.0
16,3,Marcus Roger,Hide,5.0,,5.0
17,3,Marcus Roger,"Death Takes a Honeymoon (Carnegie Kincaid, Book 4)",5.0,,5.0
18,3,Marcus Roger,The Mummy Returns,5.0,,5.0
19,3,Marcus Roger,In God We Trust : But Which One?,5.0,,5.0
0,0,Lily White,Teach with Your Heart: Lessons I Learned from the Freedom Writers,5.0,,5.0
1,0,Lily White,Sunlight on the Lawn,5.0,,5.0
2,0,Lily White,The Bush Dyslexicon: Observations on a National Disorder,3.0,,3.0
3,0,Lily White,The Spy Went Dancing,5.0,,5.0
4,0,Lily White,Stolen Innocence: The Jan Broberg Story,5.0,,5.0
5,0,Lily White,Nixon Reconsidered,5.0,,5.0
6,0,Lily White,Escaping the Delta: Robert Johnson and the Invention of the Blues,5.0,,5.0
7,0,Lily White,Out of the Cocoon: A Young Woman's Courageous Flight from the Grip of a Religious Cult,5.0,,5.0
8,0,Lily White,Birdseed Cookies: A Fractured Memoir,4.0,,4.0
9,0,Lily White,Some Kind of Miracle LP,5.0,,5.0
10,0,Lily White,Presidential Anecdotes,5.0,,5.0
11,0,Lily White,I-Net+ Exam Cram (Exam: 1KO-001),3.0,,3.0
12,0,Lily White,Moments of Being,5.0,,5.0
13,0,Lily White,Anton Chekhov: A Life,5.0,,5.0
14,0,Lily White,Saint Exupry: A Biography,5.0,,5.0
15,0,Lily White,Blue Melody: Tim Buckley Remembered,5.0,,5.0
16,0,Lily White,Marathon Man,3.0,,3.0
17,0,Lily White,Your Mother Has Suffered a Slight Stroke,5.0,,5.0
18,0,Lily White,"An Unreasonable Woman: A True Story of Shrimpers, Politicos, Polluters, and the Fight for Seadrift, Texas",5.0,,5.0
19,0,Lily White,"Prodigal genius;: The life of Nikola Tesla,",5.0,,5.0
0,1,Oliver Fitzgerald,Teach with Your Heart: Lessons I Learned from the Freedom Writers,5.0,,5.0
