item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating,should_be
0,0,William Anderson,The Tale of the Body Thief,5.0,,5.0,>=5
1,0,William Anderson,Old Macdonald Had A Woodshop,5.0,,5.0,>=5
2,0,William Anderson,The Dark Descent,5.0,,5.0,>=5
3,0,William Anderson,Boomer Goes to School,5.0,,5.0,>=5
4,0,William Anderson,The Souvenir Countess (Berkley Sensation),5.0,,5.0,>=5
5,0,William Anderson,The Burglar (Vintage Crime/Black Lizard),5.0,,5.0,>=5
6,0,William Anderson,The Collector,5.0,,5.0,>=5
7,0,William Anderson,The Master of Blacktower,5.0,,5.0,>=5
8,0,William Anderson,Hard Times,5.0,,5.0,>=5
9,0,William Anderson,A Hard Rain (Star Trek The Next Generation),5.0,,5.0,>=5
10,0,William Anderson,Impetuous,5.0,,5.0,>=5
11,0,William Anderson,"On the Bright Side, I'm Now the Girlfriend of a Sex God: Further Confessions of Georgia Nicolson",5.0,,5.0,>=5
12,0,William Anderson,Soulmates Dissipate,5.0,,5.0,>=5
13,0,William Anderson,Ultimate Prizes,5.0,,5.0,>=5
14,0,William Anderson,The Heart Queen,5.0,,5.0,>=5
15,0,William Anderson,Whispers from Yesterday,5.0,,5.0,>=5
16,0,William Anderson,Hide,5.0,,5.0,>=5
17,0,William Anderson,"Death Takes a Honeymoon (Carnegie Kincaid, Book 4)",5.0,,5.0,>=5
18,0,William Anderson,The Mummy Returns,5.0,,5.0,>=5
19,0,William Anderson,In God We Trust : But Which One?,5.0,,5.0,>=5
20,0,William Anderson,Teach with Your Heart: Lessons I Learned from the Freedom Writers,5.0,,5.0,>=5
21,0,William Anderson,Sunlight on the Lawn,5.0,,5.0,>=5
22,0,William Anderson,The Bush Dyslexicon: Observations on a National Disorder,5.0,,5.0,>=5
23,0,William Anderson,The Spy Went Dancing,5.0,,5.0,>=5
24,0,William Anderson,Stolen Innocence: The Jan Broberg Story,5.0,,5.0,>=5
25,0,William Anderson,Nixon Reconsidered,5.0,,5.0,>=5
26,0,William Anderson,Escaping the Delta: Robert Johnson and the Invention of the Blues,5.0,,5.0,>=5
27,0,William Anderson,Out of the Cocoon: A Young Woman's Courageous Flight from the Grip of a Religious Cult,5.0,,5.0,>=5
28,0,William Anderson,Birdseed Cookies: A Fractured Memoir,5.0,,5.0,>=5
29,0,William Anderson,Some Kind of Miracle LP,5.0,,5.0,>=5
30,0,William Anderson,Presidential Anecdotes,5.0,,5.0,>=5
31,0,William Anderson,I-Net+ Exam Cram (Exam: 1KO-001),5.0,,5.0,>=5
32,0,William Anderson,Moments of Being,5.0,,5.0,>=5
33,0,William Anderson,Anton Chekhov: A Life,5.0,,5.0,>=5
34,0,William Anderson,Saint Exupry: A Biography,5.0,,5.0,>=5
35,0,William Anderson,Blue Melody: Tim Buckley Remembered,5.0,,5.0,>=5
36,0,William Anderson,Marathon Man,5.0,,5.0,>=5
37,0,William Anderson,Your Mother Has Suffered a Slight Stroke,5.0,,5.0,>=5
38,0,William Anderson,"An Unreasonable Woman: A True Story of Shrimpers, Politicos, Polluters, and the Fight for Seadrift, Texas",5.0,,5.0,>=5
39,0,William Anderson,"Prodigal genius;: The life of Nikola Tesla,",5.0,,5.0,>=5
40,0,William Anderson,The Biggest Con: How the Government Is Fleecing You,5.0,,5.0,>=5
41,0,William Anderson,Country Property Dirt Cheap: How I Found My Piece of Inexpensive Rural Land...Plus My Adventures with a $300 Junk Antique Tractor,5.0,,5.0,>=5
42,0,William Anderson,Marketing: Connecting with Customers,5.0,,5.0,>=5
43,0,William Anderson,"Million Dollar Networking: The Sure Way To Find, Keep And Grow Your Business (Capital Business)",5.0,,5.0,>=5
44,0,William Anderson,Branded: The Buying and Selling of Teenagers,5.0,,5.0,>=5
45,0,William Anderson,Pikachu s Global Adventure: The Rise and Fall of Pok&eacute;mon,5.0,,5.0,>=5
46,0,William Anderson,Starting and Succeeding in Real Estate,5.0,,5.0,>=5
47,0,William Anderson,The Big Sister's Guide to the World of Work: The Inside Rules Every Working Girl Must Know,5.0,,5.0,>=5
48,0,William Anderson,The Advertising Agency Business: The Complete Manual for Management & Operation,5.0,,5.0,>=5
