item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating
0,0,Emily Riga,I Know You're Afraid Too,1.0,,1.0
1,0,Emily Riga,The Good Soldier Shweik,3.0,,3.0
2,0,Emily Riga,Just My Luck,1.0,,1.0
3,0,Emily Riga,The Invisible,3.0,,3.0
4,0,Emily Riga,Goodbye Herman,1.0,,1.0
5,0,Emily Riga,Love in Harmony Valley,1.0,,1.0
6,0,Emily Riga,A Real Life Underdog Story,3.0,,3.0
7,0,Emily Riga,The Beta Test,3.0,,3.0
8,0,Emily Riga,Greyson Family Christmas,1.0,,1.0
9,0,Emily Riga,Princess Stories Volume Two: Tales of Friendship,1.0,,1.0
10,0,Emily Riga,Poor Rich Family,1.0,,1.0
11,0,Emily Riga,The Basement,1.0,,1.0
12,0,Emily Riga,The Christmas Consultant,1.0,,1.0
13,0,Emily Riga,Love on Safari,1.0,,1.0
14,0,Emily Riga,The Little Mermaid,1.0,,1.0
15,0,Emily Riga,Sweet Rain: Accuracy of Death,3.0,,3.0
16,0,Emily Riga,Epic,3.0,,3.0
17,0,Emily Riga,Cinta Selamanya,1.0,,1.0
18,0,Emily Riga,Exploring New Horizons,1.0,,1.0
19,0,Emily Riga,Parasyte: Part 2,1.0,,1.0
0,1,Ethan Mitchell,I Know You're Afraid Too,1.0,,1.0
1,1,Ethan Mitchell,The Good Soldier Shweik,3.0,,3.0
2,1,Ethan Mitchell,Just My Luck,1.0,,1.0
3,1,Ethan Mitchell,The Invisible,1.0,,1.0
4,1,Ethan Mitchell,Goodbye Herman,1.0,,1.0
5,1,Ethan Mitchell,Love in Harmony Valley,1.0,,1.0
6,1,Ethan Mitchell,A Real Life Underdog Story,1.0,,1.0
7,1,Ethan Mitchell,The Beta Test,1.0,,1.0
8,1,Ethan Mitchell,Greyson Family Christmas,1.0,,1.0
9,1,Ethan Mitchell,Princess Stories Volume Two: Tales of Friendship,1.0,,1.0
10,1,Ethan Mitchell,Poor Rich Family,1.0,,1.0
11,1,Ethan Mitchell,The Basement,1.0,,1.0
12,1,Ethan Mitchell,The Christmas Consultant,1.0,,1.0
13,1,Ethan Mitchell,Love on Safari,1.0,,1.0
14,1,Ethan Mitchell,The Little Mermaid,1.0,,1.0
15,1,Ethan Mitchell,Sweet Rain: Accuracy of Death,1.0,,1.0
16,1,Ethan Mitchell,Epic,3.0,,3.0
17,1,Ethan Mitchell,Cinta Selamanya,1.0,,1.0
18,1,Ethan Mitchell,Exploring New Horizons,1.0,,1.0
19,1,Ethan Mitchell,Parasyte: Part 2,3.0,,3.0
0,2,Oliva Turner ,I Know You're Afraid Too,1.0,,1.0
1,2,Oliva Turner ,The Good Soldier Shweik,1.0,,1.0
2,2,Oliva Turner ,Just My Luck,1.0,,1.0
3,2,Oliva Turner ,The Invisible,3.0,,3.0
4,2,Oliva Turner ,Goodbye Herman,1.0,,1.0
5,2,Oliva Turner ,Love in Harmony Valley,1.0,,1.0
6,2,Oliva Turner ,A Real Life Underdog Story,1.0,,1.0
7,2,Oliva Turner ,The Beta Test,3.0,,3.0
8,2,Oliva Turner ,Greyson Family Christmas,1.0,,1.0
9,2,Oliva Turner ,Princess Stories Volume Two: Tales of Friendship,1.0,,1.0
10,2,Oliva Turner ,Poor Rich Family,1.0,,1.0
11,2,Oliva Turner ,The Basement,1.0,,1.0
12,2,Oliva Turner ,The Christmas Consultant,1.0,,1.0
13,2,Oliva Turner ,Love on Safari,1.0,,1.0
14,2,Oliva Turner ,The Little Mermaid,3.0,,3.0
15,2,Oliva Turner ,Sweet Rain: Accuracy of Death,1.0,,1.0
16,2,Oliva Turner ,Epic,1.0,,1.0
17,2,Oliva Turner ,Cinta Selamanya,1.0,,1.0
18,2,Oliva Turner ,Exploring New Horizons,3.0,,3.0
19,2,Oliva Turner ,Parasyte: Part 2,5.0,,5.0
0,3,Marcus Roger,I Know You're Afraid Too,1.0,,1.0
1,3,Marcus Roger,The Good Soldier Shweik,3.0,,3.0
2,3,Marcus Roger,Just My Luck,3.0,,3.0
3,3,Marcus Roger,The Invisible,3.0,,3.0
4,3,Marcus Roger,Goodbye Herman,3.0,,3.0
5,3,Marcus Roger,Love in Harmony Valley,3.0,,3.0
6,3,Marcus Roger,A Real Life Underdog Story,5.0,,5.0
7,3,Marcus Roger,The Beta Test,3.0,,3.0
8,3,Marcus Roger,Greyson Family Christmas,3.0,,3.0
9,3,Marcus Roger,Princess Stories Volume Two: Tales of Friendship,1.0,,1.0
10,3,Marcus Roger,Poor Rich Family,3.0,,3.0
11,3,Marcus Roger,The Basement,3.0,,3.0
12,3,Marcus Roger,The Christmas Consultant,3.0,,3.0
13,3,Marcus Roger,Love on Safari,3.0,,3.0
14,3,Marcus Roger,The Little Mermaid,3.0,,3.0
15,3,Marcus Roger,Sweet Rain: Accuracy of Death,3.0,,3.0
16,3,Marcus Roger,Epic,3.0,,3.0
17,3,Marcus Roger,Cinta Selamanya,3.0,,3.0
18,3,Marcus Roger,Exploring New Horizons,3.0,,3.0
19,3,Marcus Roger,Parasyte: Part 2,5.0,,5.0
0,0,Lily White,Pearl Harbor,3.0,,3.0
1,0,Lily White,Venus im vierten Haus,1.0,,1.0
2,0,Lily White,Paper Soldiers,1.0,,1.0
3,0,Lily White,SPEC: Heaven,3.0,,3.0
4,0,Lily White,The Last Mountain,1.0,,1.0
5,0,Lily White,Greyson Family Christmas,3.0,,3.0
6,0,Lily White,Out,1.0,,1.0
7,0,Lily White,The Beta Test,1.0,,1.0
8,0,Lily White,The Huntress: Rune of the Dead,3.0,,3.0
9,0,Lily White,Fire Cloud Evil God 2: Eighteen Dragon Palms,1.0,,1.0
10,0,Lily White,Trek: The Movie,3.0,,3.0
11,0,Lily White,Anna Bond,1.0,,1.0
12,0,Lily White,Critters Attack!,1.0,,1.0
13,0,Lily White,Beauty Salon: Special Service 3,1.0,,1.0
14,0,Lily White,The Final Say,1.0,,1.0
15,0,Lily White,Survivor,1.0,,1.0
16,0,Lily White,Kill Switch,1.0,,1.0
17,0,Lily White,Undercover Bridesmaid,1.0,,1.0
18,0,Lily White,Altitude,2.0,,2.0
19,0,Lily White,2-Headed Shark Attack,1.0,,1.0
0,1,Oliver Fitzgerald,Pearl Harbor,3.0,,3.0
1,1,Oliver Fitzgerald,Venus im vierten Haus,3.0,,3.0
2,1,Oliver Fitzgerald,Paper Soldiers,1.0,,1.0
3,1,Oliver Fitzgerald,SPEC: Heaven,3.0,,3.0
4,1,Oliver Fitzgerald,The Last Mountain,3.0,,3.0
5,1,Oliver Fitzgerald,Greyson Family Christmas,1.0,,1.0
6,1,Oliver Fitzgerald,Out,3.0,,3.0
7,1,Oliver Fitzgerald,The Beta Test,3.0,,3.0
8,1,Oliver Fitzgerald,The Huntress: Rune of the Dead,1.0,,1.0
9,1,Oliver Fitzgerald,Fire Cloud Evil God 2: Eighteen Dragon Palms,1.0,,1.0
10,1,Oliver Fitzgerald,Trek: The Movie,1.0,,1.0
11,1,Oliver Fitzgerald,Anna Bond,1.0,,1.0
12,1,Oliver Fitzgerald,Critters Attack!,1.0,,1.0
13,1,Oliver Fitzgerald,Beauty Salon: Special Service 3,1.0,,1.0
14,1,Oliver Fitzgerald,The Final Say,3.0,,3.0
15,1,Oliver Fitzgerald,Survivor,1.0,,1.0
16,1,Oliver Fitzgerald,Kill Switch,1.0,,1.0
17,1,Oliver Fitzgerald,Undercover Bridesmaid,1.0,,1.0
18,1,Oliver Fitzgerald,Altitude,1.0,,1.0
19,1,Oliver Fitzgerald,2-Headed Shark Attack,1.0,,1.0
0,2,Sophie Jenkins,Pearl Harbor,1.0,,1.0
1,2,Sophie Jenkins,Venus im vierten Haus,1.0,,1.0
2,2,Sophie Jenkins,Paper Soldiers,1.0,,1.0
3,2,Sophie Jenkins,SPEC: Heaven,1.0,,1.0
4,2,Sophie Jenkins,The Last Mountain,1.0,,1.0
5,2,Sophie Jenkins,Greyson Family Christmas,3.0,,3.0
6,2,Sophie Jenkins,Out,1.0,,1.0
7,2,Sophie Jenkins,The Beta Test,3.0,,3.0
8,2,Sophie Jenkins,The Huntress: Rune of the Dead,1.0,,1.0
9,2,Sophie Jenkins,Fire Cloud Evil God 2: Eighteen Dragon Palms,1.0,,1.0
10,2,Sophie Jenkins,Trek: The Movie,1.0,,1.0
11,2,Sophie Jenkins,Anna Bond,1.0,,1.0
12,2,Sophie Jenkins,Critters Attack!,1.0,,1.0
13,2,Sophie Jenkins,Beauty Salon: Special Service 3,1.0,,1.0
14,2,Sophie Jenkins,The Final Say,1.0,,1.0
15,2,Sophie Jenkins,Survivor,1.0,,1.0
16,2,Sophie Jenkins,Kill Switch,1.0,,1.0
17,2,Sophie Jenkins,Undercover Bridesmaid,2.0,,2.0
18,2,Sophie Jenkins,Altitude,1.0,,1.0
19,2,Sophie Jenkins,2-Headed Shark Attack,1.0,,1.0
0,3,Max Sanchez,Pearl Harbor,3.0,,3.0
1,3,Max Sanchez,Venus im vierten Haus,1.0,,1.0
2,3,Max Sanchez,Paper Soldiers,1.0,,1.0
3,3,Max Sanchez,SPEC: Heaven,3.0,,3.0
4,3,Max Sanchez,The Last Mountain,1.0,,1.0
5,3,Max Sanchez,Greyson Family Christmas,1.0,,1.0
6,3,Max Sanchez,Out,1.0,,1.0
7,3,Max Sanchez,The Beta Test,3.0,,3.0
8,3,Max Sanchez,The Huntress: Rune of the Dead,1.0,,1.0
9,3,Max Sanchez,Fire Cloud Evil God 2: Eighteen Dragon Palms,1.0,,1.0
10,3,Max Sanchez,Trek: The Movie,1.0,,1.0
11,3,Max Sanchez,Anna Bond,3.0,,3.0
12,3,Max Sanchez,Critters Attack!,1.0,,1.0
13,3,Max Sanchez,Beauty Salon: Special Service 3,1.0,,1.0
14,3,Max Sanchez,The Final Say,3.0,,3.0
15,3,Max Sanchez,Survivor,1.0,,1.0
16,3,Max Sanchez,Kill Switch,1.0,,1.0
17,3,Max Sanchez,Undercover Bridesmaid,1.0,,1.0
18,3,Max Sanchez,Altitude,3.0,,3.0
19,3,Max Sanchez,2-Headed Shark Attack,1.0,,1.0
0,0,Sarah Gonzalez,Knights of the Zodiac,3.0,,3.0
1,0,Sarah Gonzalez,The Fate of the Furious,3.0,,3.0
2,0,Sarah Gonzalez,Space,3.0,,3.0
3,0,Sarah Gonzalez,"Ma Belle, My Beauty",3.0,,3.0
4,0,Sarah Gonzalez,Charlie Chaplin: His Life & Work,3.0,,3.0
5,0,Sarah Gonzalez,The Other Side of the Tracks,3.0,,3.0
6,0,Sarah Gonzalez,The Academy of Magic,5.0,,5.0
7,0,Sarah Gonzalez,A Real Life Underdog Story,3.0,,3.0
8,0,Sarah Gonzalez,Wicked Lake,2.0,,2.0
9,0,Sarah Gonzalez,Hitman: Agent 47,3.0,,3.0
10,0,Sarah Gonzalez,Love in Harmony Valley,3.0,,3.0
11,0,Sarah Gonzalez,Twelve Days,3.0,,3.0
12,0,Sarah Gonzalez,The Roundup: No Way Out,3.0,,3.0
13,0,Sarah Gonzalez,My Precious,3.0,,3.0
14,0,Sarah Gonzalez,Early Bloomer,7.0,,7.0
15,0,Sarah Gonzalez,SPEC: Heaven,3.0,,3.0
