item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating,should_be
0,0,William Anderson,The Roundup: No Way Out,10.0,,10.0,>=9
1,0,William Anderson,A Killer Romance,10.0,,10.0,>=9
2,0,William Anderson,Breakout,10.0,,10.0,>=9
3,0,William Anderson,Rev,10.0,,10.0,>=9
4,0,William Anderson,Fire Cloud Evil God 2: Eighteen Dragon Palms,10.0,,10.0,>=9
5,0,William Anderson,Devil's Fairground,10.0,,10.0,>=9
6,0,William Anderson,Space,10.0,,10.0,>=9
7,0,William Anderson,Daniel Craig vs James Bond,10.0,,10.0,>=9
8,0,William Anderson,Enemy Within,10.0,,10.0,>=9
9,0,William Anderson,S.W.A.T.: Under Siege,10.0,,10.0,>=9
10,0,William Anderson,Kill Switch,10.0,,10.0,>=9
11,0,William Anderson,Altitude,10.0,,10.0,>=9
12,0,William Anderson,The Fate of the Furious,10.0,,10.0,>=9
13,0,William Anderson,Hitman: Agent 47,10.0,,10.0,>=9
14,0,William Anderson,Absolute Zero,10.0,,10.0,>=9
15,0,William Anderson,Submarine 707 Revolution,10.0,,10.0,>=9
16,0,William Anderson,X-Men: The Last Stand,10.0,,10.0,>=9
17,0,William Anderson,The Day After Tomorrow,10.0,,10.0,>=9
18,0,William Anderson,The In-Laws,10.0,,10.0,>=9
19,0,William Anderson,Pearl Harbor,10.0,,10.0,>=9
20,0,William Anderson,"Lord, I Believe",10.0,,10.0,>=9
21,0,William Anderson,Shrek,10.0,,10.0,>=9
22,0,William Anderson,Early Bloomer,10.0,,10.0,>=9
23,0,William Anderson,Princess Stories Volume Two: Tales of Friendship,10.0,,10.0,>=9
24,0,William Anderson,Dora the Explorer: Undercover Dora,10.0,,10.0,>=9
25,0,William Anderson,The Garden of Sinners: The Hollow Shrine,10.0,,10.0,>=9
26,0,William Anderson,Space Chimps 2: Zartog Strikes Back,10.0,,10.0,>=9
27,0,William Anderson,Kowarekake no Orgel,10.0,,10.0,>=9
28,0,William Anderson,Chelsea Manning Had Secrets,10.0,,10.0,>=9
29,0,William Anderson,Epic,10.0,,10.0,>=9
30,0,William Anderson,Exploring New Horizons,10.0,,10.0,>=9
31,0,William Anderson,Prologue,10.0,,10.0,>=9
32,0,William Anderson,The Motor City Slice,10.0,,10.0,>=9
33,0,William Anderson,Parralel,10.0,,10.0,>=9
34,0,William Anderson,Zoo Wars 2,10.0,,10.0,>=9
35,0,William Anderson,Scoob!,10.0,,10.0,>=9
36,0,William Anderson,The Academy of Magic,10.0,,10.0,>=9
37,0,William Anderson,Armstrong,10.0,,10.0,>=9
38,0,William Anderson,Spider-Man: Across the Spider-Verse,10.0,,10.0,>=9
39,0,William Anderson,I Know You're Afraid Too,10.0,,10.0,>=9
40,0,William Anderson,The Little Mermaid,10.0,,10.0,>=9
41,0,William Anderson,The Final Say,10.0,,10.0,>=9
42,0,William Anderson,"Cases of Teens: The Nerd, the Brute and the Rocker",10.0,,10.0,>=9
43,0,William Anderson,Rally Road Racers,10.0,,10.0,>=9
44,0,William Anderson,Crater,10.0,,10.0,>=9
45,0,William Anderson,Heaven Under The Sky,10.0,,10.0,>=9
46,0,William Anderson,Detective Bruno,10.0,,10.0,>=9
47,0,William Anderson,Sonic Drone Home,10.0,,10.0,>=9
48,0,William Anderson,Sneakerella,10.0,,10.0,>=9
49,0,William Anderson,The Snail and the Whale,10.0,,10.0,>=9
50,0,William Anderson,Poor Rich Family,10.0,,10.0,>=9
51,0,William Anderson,Blurt!,10.0,,10.0,>=9
52,0,William Anderson,Luis and the Aliens,10.0,,10.0,>=9
53,0,William Anderson,Trek: The Movie,10.0,,10.0,>=9
54,0,William Anderson,Thomas & Friends: The Great Race,10.0,,10.0,>=9
55,0,William Anderson,Bling,10.0,,10.0,>=9
56,0,William Anderson,Tiny Giants 3D,10.0,,10.0,>=9
57,0,William Anderson,Trennung auf Italienisch,10.0,,10.0,>=9
58,0,William Anderson,Ta Ra Rum Pum,10.0,,10.0,>=9
59,0,William Anderson,Just My Luck,10.0,,10.0,>=9
60,0,William Anderson,L'estate del mio primo bacio,10.0,,10.0,>=9
61,0,William Anderson,The Break-Up,10.0,,10.0,>=9
62,0,William Anderson,The Deviants,10.0,,10.0,>=9
