item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating,should_be
0,0,William Anderson,The Roundup: No Way Out,5.0,,5.0,>=9
1,0,William Anderson,A Killer Romance,9.0,,9.0,>=9
2,0,William Anderson,Breakout,9.0,,9.0,>=9
3,0,William Anderson,Rev,9.0,,9.0,>=9
4,0,William Anderson,Fire Cloud Evil God 2: Eighteen Dragon Palms,9.0,,9.0,>=9
5,0,William Anderson,Devil's Fairground,9.0,,9.0,>=9
6,0,William Anderson,Space,9.0,,9.0,>=9
7,0,William Anderson,Daniel Craig vs James Bond,9.0,,9.0,>=9
8,0,William Anderson,Enemy Within,9.0,,9.0,>=9
9,0,William Anderson,S.W.A.T.: Under Siege,9.0,,9.0,>=9
10,0,William Anderson,Kill Switch,9.0,,9.0,>=9
11,0,William Anderson,Altitude,9.0,,9.0,>=9
12,0,William Anderson,The Fate of the Furious,9.0,,9.0,>=9
13,0,William Anderson,Hitman: Agent 47,9.0,,9.0,>=9
14,0,William Anderson,Absolute Zero,9.0,,9.0,>=9
15,0,William Anderson,Submarine 707 Revolution,9.0,,9.0,>=9
16,0,William Anderson,X-Men: The Last Stand,9.0,,9.0,>=9
17,0,William Anderson,The Day After Tomorrow,9.0,,9.0,>=9
18,0,William Anderson,The In-Laws,9.0,,9.0,>=9
19,0,William Anderson,Pearl Harbor,9.0,,9.0,>=9
20,0,William Anderson,"Lord, I Believe",9.0,,9.0,>=9
21,0,William Anderson,Shrek,9.0,,9.0,>=9
22,0,William Anderson,Early Bloomer,9.0,,9.0,>=9
23,0,William Anderson,Princess Stories Volume Two: Tales of Friendship,9.0,,9.0,>=9
24,0,William Anderson,Dora the Explorer: Undercover Dora,9.0,,9.0,>=9
25,0,William Anderson,The Garden of Sinners: The Hollow Shrine,9.0,,9.0,>=9
26,0,William Anderson,Space Chimps 2: Zartog Strikes Back,9.0,,9.0,>=9
27,0,William Anderson,Kowarekake no Orgel,9.0,,9.0,>=9
28,0,William Anderson,Chelsea Manning Had Secrets,9.0,,9.0,>=9
29,0,William Anderson,Epic,9.0,,9.0,>=9
30,0,William Anderson,Exploring New Horizons,9.0,,9.0,>=9
31,0,William Anderson,Prologue,9.0,,9.0,>=9
32,0,William Anderson,The Motor City Slice,9.0,,9.0,>=9
33,0,William Anderson,Parralel,9.0,,9.0,>=9
34,0,William Anderson,Zoo Wars 2,9.0,,9.0,>=9
35,0,William Anderson,Scoob!,9.0,,9.0,>=9
36,0,William Anderson,The Academy of Magic,9.0,,9.0,>=9
37,0,William Anderson,Armstrong,9.0,,9.0,>=9
38,0,William Anderson,Spider-Man: Across the Spider-Verse,9.0,,9.0,>=9
39,0,William Anderson,I Know You're Afraid Too,9.0,,9.0,>=9
40,0,William Anderson,The Little Mermaid,9.0,,9.0,>=9
41,0,William Anderson,The Final Say,9.0,,9.0,>=9
42,0,William Anderson,"Cases of Teens: The Nerd, the Brute and the Rocker",9.0,,9.0,>=9
43,0,William Anderson,Rally Road Racers,9.0,,9.0,>=9
44,0,William Anderson,Crater,9.0,,9.0,>=9
45,0,William Anderson,Heaven Under The Sky,9.0,,9.0,>=9
46,0,William Anderson,Detective Bruno,9.0,,9.0,>=9
47,0,William Anderson,Sonic Drone Home,9.0,,9.0,>=9
48,0,William Anderson,Sneakerella,9.0,,9.0,>=9
49,0,William Anderson,The Snail and the Whale,9.0,,9.0,>=9
50,0,William Anderson,Poor Rich Family,9.0,,9.0,>=9
51,0,William Anderson,Blurt!,9.0,,9.0,>=9
52,0,William Anderson,Luis and the Aliens,9.0,,9.0,>=9
53,0,William Anderson,Trek: The Movie,9.0,,9.0,>=9
54,0,William Anderson,Thomas & Friends: The Great Race,9.0,,9.0,>=9
55,0,William Anderson,Bling,9.0,,9.0,>=9
56,0,William Anderson,Tiny Giants 3D,9.0,,9.0,>=9
57,0,William Anderson,Trennung auf Italienisch,9.0,,9.0,>=9
58,0,William Anderson,Ta Ra Rum Pum,9.0,,9.0,>=9
59,0,William Anderson,Just My Luck,9.0,,9.0,>=9
60,0,William Anderson,L'estate del mio primo bacio,9.0,,9.0,>=9
61,0,William Anderson,The Break-Up,9.0,,9.0,>=9
62,0,William Anderson,The Deviants,9.0,,9.0,>=9
63,0,William Anderson,I Was a Teenage Faust,9.0,,9.0,>=9
64,0,William Anderson,Paper Soldiers,9.0,,9.0,>=9
65,0,William Anderson,Chris Porter: Screaming from the Cosmos,9.0,,9.0,>=9
66,0,William Anderson,The Good Soldier Shweik,9.0,,9.0,>=9
67,0,William Anderson,"Tom, Dick and Harriet",9.0,,9.0,>=9
68,0,William Anderson,The Christmas Consultant,9.0,,9.0,>=9
69,0,William Anderson,A Dogwalker's Christmas Tale,9.0,,9.0,>=9
70,0,William Anderson,Revolting Rhymes,9.0,,9.0,>=9
71,0,William Anderson,Cooking with Love,9.0,,9.0,>=9
72,0,William Anderson,Venus im vierten Haus,9.0,,9.0,>=9
73,0,William Anderson,Mary's Land,9.0,,9.0,>=9
74,0,William Anderson,Critters Attack!,9.0,,9.0,>=9
75,0,William Anderson,Agent Toby Barks,9.0,,9.0,>=9
76,0,William Anderson,Book of Laughter,9.0,,9.0,>=9
77,0,William Anderson,Goodbye Herman,9.0,,9.0,>=9
78,0,William Anderson,BlackBerry,9.0,,9.0,>=9
79,0,William Anderson,Ponts de Bordeaux: Technologie de haut vol,9.0,,9.0,>=9
80,0,William Anderson,A Real Life Underdog Story,9.0,,9.0,>=9
81,0,William Anderson,Hijacked: Flight 73,9.0,,9.0,>=9
82,0,William Anderson,Brainwashed: Sex-Camera-Power,9.0,,9.0,>=9
83,0,William Anderson,The Last Mountain,9.0,,9.0,>=9
84,0,William Anderson,Wir Kinder vom Bahnhof Zoo – Lost Generation,9.0,,9.0,>=9
85,0,William Anderson,Women of the Third Reich,9.0,,9.0,>=9
86,0,William Anderson,Out,9.0,,9.0,>=9
87,0,William Anderson,Lenin and the Other Story of the Russian Revolution,9.0,,9.0,>=9
88,0,William Anderson,Jimi Hendrix: Hear My Train a Comin',9.0,,9.0,>=9
89,0,William Anderson,Freedom or Death!,9.0,,9.0,>=9
90,0,William Anderson,A Better Life,9.0,,9.0,>=9
91,0,William Anderson,Speechless: The Polar Realm,9.0,,9.0,>=9
92,0,William Anderson,Voyager: To the Final Frontier,9.0,,9.0,>=9
93,0,William Anderson,Buying Sex,9.0,,9.0,>=9
94,0,William Anderson,Urbanites - You Can't Rewind The Years,9.0,,9.0,>=9
95,0,William Anderson,Berliner,9.0,,9.0,>=9
96,0,William Anderson,September,9.0,,9.0,>=9
97,0,William Anderson,Charlie Chaplin: His Life & Work,9.0,,9.0,>=9
98,0,William Anderson,Hitler's Britain,9.0,,9.0,>=9
99,0,William Anderson,Futari wa Precure: Max Heart Movie,9.0,,9.0,>=9
100,0,William Anderson,Pokémon 3D Adventure: Find Mew!,9.0,,9.0,>=9
101,0,William Anderson,Spider-Man 3,9.0,,9.0,>=9
102,0,William Anderson,The Invisible,9.0,,9.0,>=9
103,0,William Anderson,Sweet Rain: Accuracy of Death,9.0,,9.0,>=9
104,0,William Anderson,The Other Side of the Tracks,9.0,,9.0,>=9
105,0,William Anderson,Duyung,9.0,,9.0,>=9
106,0,William Anderson,Skellig,9.0,,9.0,>=9
107,0,William Anderson,Jaane Kahan Se Aayi Hai,9.0,,9.0,>=9
108,0,William Anderson,SPEC: Heaven,9.0,,9.0,>=9
109,0,William Anderson,Survivor,9.0,,9.0,>=9
110,0,William Anderson,Iceman,9.0,,9.0,>=9
111,0,William Anderson,Arthur & Merlin,9.0,,9.0,>=9
112,0,William Anderson,The Age of Adaline,9.0,,9.0,>=9
113,0,William Anderson,Zombies Have Fallen,9.0,,9.0,>=9
114,0,William Anderson,Super Monsters Furever Friends,9.0,,9.0,>=9
115,0,William Anderson,Bloodsuckers,9.0,,9.0,>=9
116,0,William Anderson,Remain In Twilight,9.0,,9.0,>=9
117,0,William Anderson,"Justice League x RWBY: Super Heroes & Huntsmen, Part One",9.0,,9.0,>=9
118,0,William Anderson,Knights of the Zodiac,9.0,,9.0,>=9
119,0,William Anderson,Holy,9.0,,9.0,>=9
120,0,William Anderson,Twelve Days,9.0,,9.0,>=9
121,0,William Anderson,My Precious,9.0,,9.0,>=9
122,0,William Anderson,Love in Harmony Valley,9.0,,9.0,>=9
123,0,William Anderson,Seal of Desire,9.0,,9.0,>=9
124,0,William Anderson,Greyson Family Christmas,9.0,,9.0,>=9
125,0,William Anderson,"Ma Belle, My Beauty",9.0,,9.0,>=9
126,0,William Anderson,Bodies of Desire,9.0,,9.0,>=9
127,0,William Anderson,Love on Safari,9.0,,9.0,>=9
128,0,William Anderson,Christmas Wedding Planner,9.0,,9.0,>=9
129,0,William Anderson,Beauty Salon: Special Service 3,9.0,,9.0,>=9
130,0,William Anderson,Love Takes Flight,9.0,,9.0,>=9
131,0,William Anderson,Voice from the Stone,9.0,,9.0,>=9
132,0,William Anderson,Cinta Selamanya,9.0,,9.0,>=9
133,0,William Anderson,Your Place or Mine?,9.0,,9.0,>=9
134,0,William Anderson,Undercover Bridesmaid,9.0,,9.0,>=9
135,0,William Anderson,Anna Bond,9.0,,9.0,>=9
136,0,William Anderson,Made of Honor,9.0,,9.0,>=9
137,0,William Anderson,Adam & Steve,9.0,,9.0,>=9
138,0,William Anderson,Life or Something Like It,9.0,,9.0,>=9
139,0,William Anderson,The Greenskeeper,9.0,,9.0,>=9
140,0,William Anderson,Vulgar,9.0,,9.0,>=9
141,0,William Anderson,The Triangle,9.0,,9.0,>=9
142,0,William Anderson,Rise: Blood Hunter,9.0,,9.0,>=9
143,0,William Anderson,Wicked Lake,9.0,,9.0,>=9
144,0,William Anderson,Dream Home,9.0,,9.0,>=9
145,0,William Anderson,Ingression,9.0,,9.0,>=9
146,0,William Anderson,Legion of the Dead,9.0,,9.0,>=9
147,0,William Anderson,2-Headed Shark Attack,9.0,,9.0,>=9
148,0,William Anderson,Parasyte: Part 2,9.0,,9.0,>=9
149,0,William Anderson,Swamp Freak,9.0,,9.0,>=9
150,0,William Anderson,The Basement,9.0,,9.0,>=9
151,0,William Anderson,The Factory,9.0,,9.0,>=9
152,0,William Anderson,Zombie Fighters,9.0,,9.0,>=9
153,0,William Anderson,Edgar Allen Poe's Ligeia,9.0,,9.0,>=9
154,0,William Anderson,We Summon the Darkness,9.0,,9.0,>=9
155,0,William Anderson,Spookiz: The Movie,9.0,,9.0,>=9
156,0,William Anderson,The Huntress: Rune of the Dead,9.0,,9.0,>=9
157,0,William Anderson,The Beta Test,9.0,,9.0,>=9
158,0,William Anderson,Undeaducated,9.0,,9.0,>=9
0,1,Sophia Evans,The Roundup: No Way Out,5.0,,5.0,>=9
1,1,Sophia Evans,A Killer Romance,9.0,,9.0,>=9
2,1,Sophia Evans,Breakout,9.0,,9.0,>=9
3,1,Sophia Evans,Rev,9.0,,9.0,>=9
4,1,Sophia Evans,Fire Cloud Evil God 2: Eighteen Dragon Palms,9.0,,9.0,>=9
5,1,Sophia Evans,Devil's Fairground,9.0,,9.0,>=9
6,1,Sophia Evans,Space,9.0,,9.0,>=9
7,1,Sophia Evans,Daniel Craig vs James Bond,9.0,,9.0,>=9
8,1,Sophia Evans,Enemy Within,9.0,,9.0,>=9
9,1,Sophia Evans,S.W.A.T.: Under Siege,9.0,,9.0,>=9
10,1,Sophia Evans,Kill Switch,9.0,,9.0,>=9
11,1,Sophia Evans,Altitude,9.0,,9.0,>=9
12,1,Sophia Evans,The Fate of the Furious,9.0,,9.0,>=9
13,1,Sophia Evans,Hitman: Agent 47,9.0,,9.0,>=9
14,1,Sophia Evans,Absolute Zero,9.0,,9.0,>=9
15,1,Sophia Evans,Submarine 707 Revolution,9.0,,9.0,>=9
16,1,Sophia Evans,X-Men: The Last Stand,9.0,,9.0,>=9
17,1,Sophia Evans,The Day After Tomorrow,9.0,,9.0,>=9
18,1,Sophia Evans,The In-Laws,9.0,,9.0,>=9
19,1,Sophia Evans,Pearl Harbor,9.0,,9.0,>=9
20,1,Sophia Evans,"Lord, I Believe",9.0,,9.0,>=9
21,1,Sophia Evans,Shrek,9.0,,9.0,>=9
22,1,Sophia Evans,Early Bloomer,9.0,,9.0,>=9
23,1,Sophia Evans,Princess Stories Volume Two: Tales of Friendship,9.0,,9.0,>=9
24,1,Sophia Evans,Dora the Explorer: Undercover Dora,9.0,,9.0,>=9
25,1,Sophia Evans,The Garden of Sinners: The Hollow Shrine,9.0,,9.0,>=9
26,1,Sophia Evans,Space Chimps 2: Zartog Strikes Back,9.0,,9.0,>=9
27,1,Sophia Evans,Kowarekake no Orgel,9.0,,9.0,>=9
28,1,Sophia Evans,Chelsea Manning Had Secrets,9.0,,9.0,>=9
29,1,Sophia Evans,Epic,9.0,,9.0,>=9
30,1,Sophia Evans,Exploring New Horizons,9.0,,9.0,>=9
31,1,Sophia Evans,Prologue,9.0,,9.0,>=9
32,1,Sophia Evans,The Motor City Slice,9.0,,9.0,>=9
33,1,Sophia Evans,Parralel,9.0,,9.0,>=9
34,1,Sophia Evans,Zoo Wars 2,9.0,,9.0,>=9
35,1,Sophia Evans,Scoob!,9.0,,9.0,>=9
36,1,Sophia Evans,The Academy of Magic,9.0,,9.0,>=9
37,1,Sophia Evans,Armstrong,9.0,,9.0,>=9
38,1,Sophia Evans,Spider-Man: Across the Spider-Verse,9.0,,9.0,>=9
39,1,Sophia Evans,I Know You're Afraid Too,9.0,,9.0,>=9
40,1,Sophia Evans,The Little Mermaid,9.0,,9.0,>=9
41,1,Sophia Evans,The Final Say,9.0,,9.0,>=9
42,1,Sophia Evans,"Cases of Teens: The Nerd, the Brute and the Rocker",9.0,,9.0,>=9
43,1,Sophia Evans,Rally Road Racers,9.0,,9.0,>=9
44,1,Sophia Evans,Crater,9.0,,9.0,>=9
45,1,Sophia Evans,Heaven Under The Sky,9.0,,9.0,>=9
46,1,Sophia Evans,Detective Bruno,9.0,,9.0,>=9
47,1,Sophia Evans,Sonic Drone Home,9.0,,9.0,>=9
48,1,Sophia Evans,Sneakerella,9.0,,9.0,>=9
49,1,Sophia Evans,The Snail and the Whale,9.0,,9.0,>=9
50,1,Sophia Evans,Poor Rich Family,9.0,,9.0,>=9
51,1,Sophia Evans,Blurt!,9.0,,9.0,>=9
52,1,Sophia Evans,Luis and the Aliens,9.0,,9.0,>=9
53,1,Sophia Evans,Trek: The Movie,9.0,,9.0,>=9
54,1,Sophia Evans,Thomas & Friends: The Great Race,9.0,,9.0,>=9
55,1,Sophia Evans,Bling,9.0,,9.0,>=9
56,1,Sophia Evans,Tiny Giants 3D,9.0,,9.0,>=9
57,1,Sophia Evans,Trennung auf Italienisch,9.0,,9.0,>=9
58,1,Sophia Evans,Ta Ra Rum Pum,9.0,,9.0,>=9
59,1,Sophia Evans,Just My Luck,9.0,,9.0,>=9
60,1,Sophia Evans,L'estate del mio primo bacio,9.0,,9.0,>=9
61,1,Sophia Evans,The Break-Up,9.0,,9.0,>=9
62,1,Sophia Evans,The Deviants,9.0,,9.0,>=9
63,1,Sophia Evans,I Was a Teenage Faust,9.0,,9.0,>=9
