item,user,user_name,item_name,LLM_rating,LLM_interaction_HTML,rating
0,0,Emily Riga,The Roundup: No Way Out,9.0,,9.0
1,0,Emily Riga,A Killer Romance,8.0,,8.0
2,0,Emily Riga,Breakout,9.0,,9.0
3,0,Emily Riga,Rev,8.0,,8.0
4,0,Emily Riga,Fire Cloud Evil God 2: Eighteen Dragon Palms,9.0,,9.0
5,0,Emily Riga,Devil's Fairground,8.0,,8.0
6,0,Emily Riga,Space,8.0,,8.0
7,0,Emily Riga,Daniel Craig vs James Bond,8.0,,8.0
8,0,Emily Riga,Enemy Within,8.0,,8.0
9,0,Emily Riga,S.W.A.T.: Under Siege,8.0,,8.0
10,0,Emily Riga,Kill Switch,8.0,,8.0
11,0,Emily Riga,Altitude,8.0,,8.0
12,0,Emily Riga,The Fate of the Furious,9.0,,9.0
13,0,Emily Riga,Hitman: Agent 47,8.0,,8.0
14,0,Emily Riga,Absolute Zero,8.0,,8.0
15,0,Emily Riga,Submarine 707 Revolution,8.0,,8.0
16,0,Emily Riga,X-Men: The Last Stand,8.0,,8.0
17,0,Emily Riga,The Day After Tomorrow,8.0,,8.0
18,0,Emily Riga,The In-Laws,8.0,,8.0
19,0,Emily Riga,Pearl Harbor,3.0,,3.0
0,1,Ethan Mitchell,The Roundup: No Way Out,9.0,,9.0
1,1,Ethan Mitchell,A Killer Romance,8.0,,8.0
2,1,Ethan Mitchell,Breakout,9.0,,9.0
3,1,Ethan Mitchell,Rev,8.0,,8.0
4,1,Ethan Mitchell,Fire Cloud Evil God 2: Eighteen Dragon Palms,9.0,,9.0
5,1,Ethan Mitchell,Devil's Fairground,8.0,,8.0
6,1,Ethan Mitchell,Space,7.0,,7.0
7,1,Ethan Mitchell,Daniel Craig vs James Bond,9.0,,9.0
8,1,Ethan Mitchell,Enemy Within,8.0,,8.0
9,1,Ethan Mitchell,S.W.A.T.: Under Siege,9.0,,9.0
10,1,Ethan Mitchell,Kill Switch,9.0,,9.0
11,1,Ethan Mitchell,Altitude,8.0,,8.0
